VITE;vite;VITE;false
LCC;litecoin-cash;Litecoin Cash;true
DMT;dmarket;DMarket;false
VIA;viacoin;Viacoin;false
UNO;unobtanium;Unobtanium;false
EDG;edgeless;Edgeless;false
DNT;district0x;district0x;false
ITC;iot-chain;IoT Chain;false
NTY;nexty;Nexty;true
WPR;wepower;WePower;false
VIBE;vibe;VIBE;false
LYM;lympo;Lympo;false
NGC;naga;NAGA;false
RKT;rock;Rock;false
KEY;selfkey;Selfkey;false
APIS;apis;APIS;false
RTH;rotharium;Rotharium;true
SPHTX;sophiatx;SophiaTX;false
TNT;tierion;Tierion;false
DTR;dynamic-trading-rights;Dynamic Trading Rights;false
WINGS;wings;Wings;false
RCN;ripio-credit-network;Ripio Credit Network;false
INS;ins-ecosystem;INS Ecosystem;false
IHT;iht-real-estate-protocol;IHT Real Estate Protocol;false
EURS;stasis-eurs;STASIS EURS;false
TCT;tokenclub;TokenClub;false
WABI;wabi;WaBi;false
HORUS;horuspay;HorusPay;false
KICK;kickico;KickCoin;false
XPM;primecoin;Primecoin;false
AST;airswap;AirSwap;false
FXT;fuzex;FuzeX;false
BTX;bitcore;Bitcore;true
BAX;babb;BABB;false
DAPS;daps-token;DAPS Token;false
CLOAK;cloakcoin;CloakCoin;false
PST;primas;Primas;false
FAIR;faircoin;FairCoin;false
KAN;bitkan;BitKan;false
TTU;tatatu;TaTaTu;false
$PAC;paccoin;PACcoin;false
RFR;refereum;Refereum;false
XYO;xyo-network;XYO Network;false
BBR;boolberry;Boolberry;false
QNT;quant;Quant;false
LBA;libra-credit;Cred;false
XBY;xtrabytes;XTRABYTES;false
QLC;qlink;QLC Chain;false
QRL;quantum-resistant-ledger;Quantum Resistant Ledger;false
MET;metronome;Metronome;false
CSC;casinocoin;CasinoCoin;false
SLT;smartlands;Smartlands;true
LGO;legolas-exchange;LGO Exchange;false
LINDA;linda;Linda;false
TKN;tokencard;TokenCard;false
ECA;electra;Electra;false
DPY;delphy;Delphy;false
NIX;nix;NIX;false
GAME;gamecredits;GameCredits;false
LOKI;loki;Loki;false
MED;medibloc;MediBloc [QRC20];false
LEO;leocoin;LEOcoin;false
LYL;loyalcoin;LoyalCoin;false
CDT;blox;Blox;false
PHX;red-pulse;Red Pulse Phoenix;false
HYDRO;hydrogen;Hydro;false
MOC;moss-coin;Moss Coin;false
XLQ;alqo;ALQO;false
BITUSD;bitusd;bitUSD;false
ION;ion;ION;false
SCRL;scroll;SCRL;false
ARN;aeron;Aeron;true
CPC;cpchain;CPChain;false
MTC;docademic;Docademic;true
BITG;bitcoin-green;Bitcoin Green;false
ZPT;zeepin;Zeepin;false
SEELE;seele;Seele;false
SWM;swarm-fund;Swarm;true
APPC;appcoins;AppCoins;false
SXDT;spectre-dividend;Spectre.ai Dividend Token;false
CPX;apex;Apex;false
NKN;nkn;NKN;false
FUEL;etherparty;Etherparty;false
XSN;stakenet;Stakenet;false
EDR;e-dinar-coin;E-Dinar Coin;true
BZNT;bezant;Bezant;false
NEU;neumark;Neumark;false
MER;mercury;Mercury;false
TUBE;bit-tube;BitTube;false
SKB;sakura-bloom;Sakura Bloom;false
COB;cobinhood;Cobinhood;false
DBC;deepbrain-chain;DeepBrain Chain;false
BWT;bittwatt;Bittwatt;false
PPP;paypie;PayPie;false
PRE;presearch;Presearch;false
HVN;hiveterminal-token;Hiveterminal Token;false
MSP;mothership;Mothership;false
NLG;gulden;Gulden;false
AEON;aeon;Aeon;false
DERO;dero;Dero;false
MVL;mass-vehicle-ledger;Mass Vehicle Ledger;false
EVR;everus;Everus;false
REPO;repo;REPO;false
EVX;everex;Everex;false
MNX;minexcoin;MinexCoin;false
YOYOW;yoyow;YOYOW;false
MOBI;mobius;Mobius;false
LUN;lunyr;Lunyr;false
CLO;callisto-network;Callisto Network;true
GRFT;graft;Graft;false
TRAC;origintrail;OriginTrail;false
TMC;timicoin;Timicoin;false
BCPT;blockmason;BlockMason Credit Protocol;false
DCC;distributed-credit-chain;Distributed Credit Chain;false
INT;internet-node-token;Internet Node Token;false
ATN;atn;ATN;false
PRL;oyster;Oyster;false
AURA;aurora-dao;Aurora DAO;false
EDN;eden;Eden;false
IMT;moneytoken;Moneytoken;false
CHAT;chatcoin;ChatCoin;false
COV;covesting;Covesting;false
BWK;bulwark;Bulwark;false
PASC;pascal-coin;Pascal Coin;false
NANJ;nanjcoin;NANJCOIN;false
DOCK;dock;Dock;false
XRL;rialto;Rialto;false
SWFTC;swftcoin;SwftCoin;false
CFI;cofound-it;Cofound.it;false
ZCN;0chain;0chain;false
ADT;adtoken;adToken;false
LINA;lina;Lina;false
