FOTA;FOTA;Fortuna;false
BCPT;BCPT;BlockMason Credit Protocol;false
INT;INT;Internet Node Token;false
IMT;IMT;MoneyToken;false
PRL;PRL;Oyster Pearl;false
DCC;DCC3;Distributed Credit Chain;false
COV;COV;Covesting;false
LINA;lina;Lina;false
NANJ;NANJ;NANJCOIN;false
CHAT;CHAT;ChatCoin;false
DOCK;DOCK;Dock;false
ADT;ADT;AdToken;false
XRL;XRL;Rialto.AI;false
SWFTC;SWFTC;SwftCoin;false
CLO;CLO;Callisto Network;false
ZCN;ZCN;0Chain;false
NMC;NMC;NameCoin;false
TIX;TIX;Blocktix;false
XUC;XUC;Exchange Union;false
FTC;FTC;FeatherCoin;false
UTNP;UTNP;Universa Token;false
TERN;TERN;Ternio;false
TUBE;TUBE;BitTube;false
LBC;LBC;LBRY Credits;false
INK;INK;Ink;false
DLT;DLT;Agrello Delta;false
MTH;MTH;Monetha;false
VIB;VIB;Viberate;false
GIN;GIN;GINcoin;false
B2B;B2B;B2BX;false
BITB;BITB;Bean Cash;false
COSS;COSS;COSS;false
DAX;DAX;DAEX;false
CRW;CRW;Crown Coin;false
ZPR;ZPR;ZPER token;false
DCT;DCT;Decent;false
SIX;SIX;SixAxis;false
HTML;HTML;HTMLCOIN;false
DBET;DBET;Decent.bet;false
RVR;RVR;RevolutionVR;false
ZCO;ZCO;Zebi Coin;false
LA;LA;LAToken;false
PMA;PMA;PumaPay;false
NSD;NSD;Nasdacoin;false
NPX;NPX;Napoleon X;false
PLC;PLC;PlusCoin;false
UPP;UPP;Sentinel Protocol;false
BLT;BLT;Bloom Token;false
1ST;1ST;FirstBlood;false
OPTI;OPTI;OptiToken;false
MOT;MOT;Olympus Labs Token;false
YEE;YEE;Yee;false
HMC;HMC2;Hi Mutual Society;false
NER;NER;Nerves;false
DADI;DADI;DADI;false
OAX;OAX;OpenANX;false
LET;LET;LinkEye;false
ZMN;ZMN;ZMINE Token;false
BKX;BKX;BANKEX;false
JWL;JWL;Jewels;false
MLN;MLN;Melon;false
SKM;SKM;Skrumble Network;false
WWB;WWB;Wowbit;false
DATX;DATX;DATx;false
MLM;MLM;MktCoin;false
XHV;XHV;Haven Protocol;false
QUN;QUN;QunQun;false
BOX;BOX;ContentBox;false
CHSB;CHSB;SwissBorg;false
LOC;LOC2;LockTrip;false
VIN;VIN;VinChain;false
XEL;XEL;Elastic;false
CAS;CAS;Cashaa;false
BPT;BPT;Blockport;false
BMC;BMC;Blackmoon Crypto;false
HMQ;HMQ;Humaniq;false
TFD;TFD;TE-FOOD;false
SOUL;SOUL2;Phantasma;false
ABL;ABL;Airbloc;false
NMR;NMR;Numerai;false
DIM;DIM;DIMCOIN;false
BLK;BLK;BlackCoin;false
TTT;TTT;TrustNote;false
UP;UP;UpToken;false
ECOREAL;ECOREAL;Ecoreal Estate;false
XDCE;XDCE;XinFin Coin;false
GAME;GAME;Gamecredits;false
ZSC;ZSC;Zeusshield;false
LUX;LUX;LUXCoin;false
SINS;SINS;SafeInsure;false
CARD;CARD;Cardstack;false
LCS;LCS;LocalCoinSwap;false
MUE;MUE;MonetaryUnit;false
MGD;MGD;Mass Grid;false
DAT;DAT;Datum;false
WTL;WTL;Welltrado Token;false
MUSIC;MUSIC;Musicoin;false
MAS;MAS;MidasProtocol;false
XP;XP;XP;false
STX;STX;Stox;false
MTN;MTN2;Medicalchain;false
TOA;TOA;ToaCoin;false
